CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Loss_Trend,Status,Config_alpha_constraint,Config_beta_smooth,Config_gamma_corr,Config_delta_reg,Config_epsilon_diversity,Config_zeta_trend,Config_steps,Config_lr,Config_temperature,Config_rank_tau,Config_reg_type,Config_normal_sigma_factor,Config_longtail_alpha,Config_longtail_shift,Config_constraint_margin,Config_diversity_sigma,Percent_Predict,Rank_predict
Mario Lopez,3,3,Percent,22.0,10.6%,8.1%-70.4%,23.69,1.0,6.175277203161386,0.0001274141250178,8.230340608861297e-05,0.6838529706001282,0.1445528268814087,0.1694624125957489,0.2511758208274841,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Emmitt Smith,3,3,Percent,19.0,9.2%,0.1%-15.6%,1.47,9.0,6.175277203161386,0.0001274141250178,8.230340608861297e-05,0.6838529706001282,0.1445528268814087,0.1694624125957489,0.2511758208274841,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Willa Ford,3,3,Percent,22.0,10.6%,1.9%-34.8%,12.89,4.0,6.175277203161386,0.0001274141250178,8.230340608861297e-05,0.6838529706001282,0.1445528268814087,0.1694624125957489,0.2511758208274841,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sara Evans,3,3,Percent,25.0,12.1%,0.9%-27.0%,7.2,7.0,6.175277203161386,0.0001274141250178,8.230340608861297e-05,0.6838529706001282,0.1445528268814087,0.1694624125957489,0.2511758208274841,Withdrew,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jerry Springer,3,3,Percent,21.0,10.1%,1.2%-29.3%,9.01,6.0,6.175277203161386,0.0001274141250178,8.230340608861297e-05,0.6838529706001282,0.1445528268814087,0.1694624125957489,0.2511758208274841,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Vivica A. Fox,3,4,Percent,24.0,12.1%,0.6%-11.4%,5.56,7.0,1.5714083774146277,0.0,4.044715751660988e-05,0.0995548963546752,0.1445431411266327,0.1387397050857544,0.0327810645103454,Eliminated (Place 8),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Monique Coleman,3,4,Percent,24.0,12.1%,1.2%-15.0%,9.32,5.0,1.5714083774146277,0.0,4.044715751660988e-05,0.0995548963546752,0.1445431411266327,0.1387397050857544,0.0327810645103454,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Joey Lawrence,3,4,Percent,27.0,13.6%,11.6%-25.9%,17.29,3.0,1.5714083774146277,0.0,4.044715751660988e-05,0.0995548963546752,0.1445431411266327,0.1387397050857544,0.0327810645103454,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Mario Lopez,3,4,Percent,29.0,14.6%,21.8%-41.4%,27.42,1.0,1.5714083774146277,0.0,4.044715751660988e-05,0.0995548963546752,0.1445431411266327,0.1387397050857544,0.0327810645103454,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Emmitt Smith,3,4,Percent,24.0,12.1%,1.0%-15.5%,7.85,6.0,1.5714083774146277,0.0,4.044715751660988e-05,0.0995548963546752,0.1445431411266327,0.1387397050857544,0.0327810645103454,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Willa Ford,3,4,Percent,28.0,14.1%,11.8%-26.2%,19.24,2.0,1.5714083774146277,0.0,4.044715751660988e-05,0.0995548963546752,0.1445431411266327,0.1387397050857544,0.0327810645103454,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sara Evans,3,4,Percent,20.0,10.1%,0.2%-7.7%,1.81,8.0,1.5714083774146277,0.0,4.044715751660988e-05,0.0995548963546752,0.1445431411266327,0.1387397050857544,0.0327810645103454,Withdrew,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jerry Springer,3,4,Percent,22.0,11.1%,1.6%-16.8%,11.51,4.0,1.5714083774146277,0.0,4.044715751660988e-05,0.0995548963546752,0.1445431411266327,0.1387397050857544,0.0327810645103454,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Monique Coleman,3,5,Percent,27.0,14.9%,4.3%-23.4%,14.05,4.0,3.873314628377557,0.0015984791098162,0.0,0.3298919200897217,0.0549438335001468,0.2292478531599044,0.116191565990448,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Joey Lawrence,3,5,Percent,25.0,13.8%,5.6%-25.2%,15.56,3.0,3.873314628377557,0.0015984791098162,0.0,0.3298919200897217,0.0549438335001468,0.2292478531599044,0.116191565990448,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Mario Lopez,3,5,Percent,27.0,14.9%,18.8%-56.8%,24.94,1.0,3.873314628377557,0.0015984791098162,0.0,0.3298919200897217,0.0549438335001468,0.2292478531599044,0.116191565990448,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Emmitt Smith,3,5,Percent,27.0,14.9%,4.1%-23.4%,12.98,5.0,3.873314628377557,0.0015984791098162,0.0,0.3298919200897217,0.0549438335001468,0.2292478531599044,0.116191565990448,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Willa Ford,3,5,Percent,27.0,14.9%,4.8%-20.6%,16.58,2.0,3.873314628377557,0.0015984791098162,0.0,0.3298919200897217,0.0549438335001468,0.2292478531599044,0.116191565990448,Eliminated (Place 7),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sara Evans,3,5,Percent,24.0,13.3%,0.6%-11.8%,5.12,7.0,3.873314628377557,0.0015984791098162,0.0,0.3298919200897217,0.0549438335001468,0.2292478531599044,0.116191565990448,Withdrew,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jerry Springer,3,5,Percent,24.0,13.3%,1.6%-18.8%,10.75,6.0,3.873314628377557,0.0015984791098162,0.0,0.3298919200897217,0.0549438335001468,0.2292478531599044,0.116191565990448,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Monique Coleman,3,6,Percent,23.0,19.5%,1.4%-21.6%,11.29,4.0,2.1291660964488983,0.0,0.0,0.1473696827888488,0.1050177812576294,0.057726927101612,0.1359106302261352,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Joey Lawrence,3,6,Percent,24.0,20.3%,12.3%-33.3%,23.7,2.0,2.1291660964488983,0.0,0.0,0.1473696827888488,0.1050177812576294,0.057726927101612,0.1359106302261352,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Mario Lopez,3,6,Percent,28.0,23.7%,34.0%-69.2%,42.04,1.0,2.1291660964488983,0.0,0.0,0.1473696827888488,0.1050177812576294,0.057726927101612,0.1359106302261352,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Emmitt Smith,3,6,Percent,25.0,21.2%,2.2%-24.2%,16.1,3.0,2.1291660964488983,0.0,0.0,0.1473696827888488,0.1050177812576294,0.057726927101612,0.1359106302261352,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jerry Springer,3,6,Percent,18.0,15.3%,0.7%-17.5%,6.86,5.0,2.1291660964488983,0.0,0.0,0.1473696827888488,0.1050177812576294,0.057726927101612,0.1359106302261352,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Monique Coleman,3,7,Percent,27.0,20.0%,1.5%-23.5%,12.13,4.0,3.298337012529373,0.0,0.0,0.3173205852508545,0.0911432057619094,0.0449153184890747,0.1928266286849975,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Joey Lawrence,3,7,Percent,28.5,21.1%,14.1%-42.9%,26.56,2.0,3.298337012529373,0.0,0.0,0.3173205852508545,0.0911432057619094,0.0449153184890747,0.1928266286849975,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Mario Lopez,3,7,Percent,28.0,20.7%,27.3%-67.6%,37.14,1.0,3.298337012529373,0.0,0.0,0.3173205852508545,0.0911432057619094,0.0449153184890747,0.1928266286849975,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Emmitt Smith,3,7,Percent,28.5,21.1%,2.5%-27.4%,17.47,3.0,3.298337012529373,0.0,0.0,0.3173205852508545,0.0911432057619094,0.0449153184890747,0.1928266286849975,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jerry Springer,3,7,Percent,23.0,17.0%,0.7%-17.0%,6.7,5.0,3.298337012529373,0.0,0.0,0.3173205852508545,0.0911432057619094,0.0449153184890747,0.1928266286849975,Eliminated (Place 5),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Monique Coleman,3,8,Percent,26.5,24.3%,2.1%-12.3%,10.86,4.0,0.5482514202594757,0.0,0.0,0.0273219943046569,0.0749433189630508,0.0321339517831802,0.019031286239624,Eliminated (Place 4),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Joey Lawrence,3,8,Percent,27.0,24.8%,21.3%-30.5%,25.63,2.0,0.5482514202594757,0.0,0.0,0.0273219943046569,0.0749433189630508,0.0321339517831802,0.019031286239624,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Mario Lopez,3,8,Percent,28.5,26.1%,43.0%-60.7%,46.46,1.0,0.5482514202594757,0.0,0.0,0.0273219943046569,0.0749433189630508,0.0321339517831802,0.019031286239624,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Emmitt Smith,3,8,Percent,27.0,24.8%,11.2%-19.0%,17.05,3.0,0.5482514202594757,0.0,0.0,0.0273219943046569,0.0749433189630508,0.0321339517831802,0.019031286239624,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Joey Lawrence,3,9,Percent,29.5,33.3%,32.2%-34.4%,33.33,1.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,Eliminated (Place 3),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Mario Lopez,3,9,Percent,29.5,33.3%,34.3%-88.1%,33.33,1.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Emmitt Smith,3,9,Percent,29.5,33.3%,19.0%-32.3%,33.33,1.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Mario Lopez,3,10,Percent,29.666600000000003,50.0%,41.1%-57.7%,50.0,1.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,Eliminated (Place 2),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Emmitt Smith,3,10,Percent,29.666600000000003,50.0%,42.3%-58.9%,50.0,1.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Aiden Turner,10,1,Percent,15.0,7.2%,0.2%-10.4%,1.98,10.0,3.156051933765412,0.0,0.0,0.2073035240173339,0.1782251298427581,0.206985205411911,0.133591890335083,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Shannen Doherty,10,1,Percent,18.0,8.6%,0.7%-15.1%,5.93,7.0,3.156051933765412,0.0,0.0,0.2073035240173339,0.1782251298427581,0.206985205411911,0.133591890335083,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Niecy Nash,10,1,Percent,18.0,8.6%,0.4%-13.7%,3.8,9.0,3.156051933765412,0.0,0.0,0.2073035240173339,0.1782251298427581,0.206985205411911,0.133591890335083,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Buzz Aldrin,10,1,Percent,14.0,6.7%,0.1%-10.2%,1.23,11.0,3.156051933765412,0.0,0.0,0.2073035240173339,0.1782251298427581,0.206985205411911,0.133591890335083,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chad Ochocinco,10,1,Percent,18.0,8.6%,0.6%-14.3%,5.08,8.0,3.156051933765412,0.0,0.0,0.2073035240173339,0.1782251298427581,0.206985205411911,0.133591890335083,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Evan Lysacek,10,1,Percent,23.0,11.0%,1.4%-20.1%,9.68,5.0,3.156051933765412,0.0,0.0,0.2073035240173339,0.1782251298427581,0.206985205411911,0.133591890335083,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Pamela Anderson,10,1,Percent,21.0,10.0%,2.1%-25.4%,13.44,3.0,3.156051933765412,0.0,0.0,0.2073035240173339,0.1782251298427581,0.206985205411911,0.133591890335083,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Nicole Scherzinger,10,1,Percent,25.0,12.0%,13.5%-43.1%,21.98,1.0,3.156051933765412,0.0,0.0,0.2073035240173339,0.1782251298427581,0.206985205411911,0.133591890335083,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Erin Andrews,10,1,Percent,21.0,10.0%,3.2%-27.8%,15.26,2.0,3.156051933765412,0.0,0.0,0.2073035240173339,0.1782251298427581,0.206985205411911,0.133591890335083,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kate Gosselin,10,1,Percent,16.0,7.7%,2.0%-26.0%,12.71,4.0,3.156051933765412,0.0,0.0,0.2073035240173339,0.1782251298427581,0.206985205411911,0.133591890335083,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jake Pavelka,10,1,Percent,20.0,9.6%,1.2%-20.2%,8.9,6.0,3.156051933765412,0.0,0.0,0.2073035240173339,0.1782251298427581,0.206985205411911,0.133591890335083,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Aiden Turner,10,2,Percent,19.0,8.6%,0.5%-15.7%,4.24,9.0,3.6670661363750696,0.0005896495422348,0.0,0.2670353651046753,0.162737637758255,0.2181664556264877,0.1417474746704101,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Shannen Doherty,10,2,Percent,20.0,9.1%,0.5%-11.4%,4.6,8.0,3.6670661363750696,0.0005896495422348,0.0,0.2670353651046753,0.162737637758255,0.2181664556264877,0.1417474746704101,Eliminated (Place 11),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Niecy Nash,10,2,Percent,21.0,9.5%,0.8%-16.8%,6.18,7.0,3.6670661363750696,0.0005896495422348,0.0,0.2670353651046753,0.162737637758255,0.2181664556264877,0.1417474746704101,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Buzz Aldrin,10,2,Percent,12.0,5.5%,0.1%-11.2%,1.42,11.0,3.6670661363750696,0.0005896495422348,0.0,0.2670353651046753,0.162737637758255,0.2181664556264877,0.1417474746704101,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chad Ochocinco,10,2,Percent,16.0,7.3%,0.3%-13.0%,2.97,10.0,3.6670661363750696,0.0005896495422348,0.0,0.2670353651046753,0.162737637758255,0.2181664556264877,0.1417474746704101,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Evan Lysacek,10,2,Percent,24.0,10.9%,1.3%-20.5%,9.11,5.0,3.6670661363750696,0.0005896495422348,0.0,0.2670353651046753,0.162737637758255,0.2181664556264877,0.1417474746704101,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Pamela Anderson,10,2,Percent,22.0,10.0%,2.1%-26.6%,13.14,3.0,3.6670661363750696,0.0005896495422348,0.0,0.2670353651046753,0.162737637758255,0.2181664556264877,0.1417474746704101,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Nicole Scherzinger,10,2,Percent,28.0,12.7%,13.4%-48.1%,22.28,1.0,3.6670661363750696,0.0005896495422348,0.0,0.2670353651046753,0.162737637758255,0.2181664556264877,0.1417474746704101,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Erin Andrews,10,2,Percent,23.0,10.5%,2.5%-30.2%,15.44,2.0,3.6670661363750696,0.0005896495422348,0.0,0.2670353651046753,0.162737637758255,0.2181664556264877,0.1417474746704101,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kate Gosselin,10,2,Percent,15.0,6.8%,1.9%-26.7%,12.27,4.0,3.6670661363750696,0.0005896495422348,0.0,0.2670353651046753,0.162737637758255,0.2181664556264877,0.1417474746704101,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jake Pavelka,10,2,Percent,20.0,9.1%,1.2%-19.6%,8.35,6.0,3.6670661363750696,0.0005896495422348,0.0,0.2670353651046753,0.162737637758255,0.2181664556264877,0.1417474746704101,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Aiden Turner,10,3,Percent,20.0,9.9%,0.5%-17.3%,4.07,9.0,4.7633752862242815,0.0,1.0065330258157701e-07,0.4815313220024109,0.1517755389213562,0.191371202468872,0.1838117837905883,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Niecy Nash,10,3,Percent,21.0,10.3%,0.8%-18.1%,6.28,7.0,4.7633752862242815,0.0,1.0065330258157701e-07,0.4815313220024109,0.1517755389213562,0.191371202468872,0.1838117837905883,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Buzz Aldrin,10,3,Percent,13.0,6.4%,0.0%-10.1%,0.61,10.0,4.7633752862242815,0.0,1.0065330258157701e-07,0.4815313220024109,0.1517755389213562,0.191371202468872,0.1838117837905883,Eliminated (Place 10),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chad Ochocinco,10,3,Percent,20.0,9.9%,0.6%-18.1%,5.35,8.0,4.7633752862242815,0.0,1.0065330258157701e-07,0.4815313220024109,0.1517755389213562,0.191371202468872,0.1838117837905883,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Evan Lysacek,10,3,Percent,26.0,12.8%,1.6%-26.3%,10.77,5.0,4.7633752862242815,0.0,1.0065330258157701e-07,0.4815313220024109,0.1517755389213562,0.191371202468872,0.1838117837905883,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Pamela Anderson,10,3,Percent,21.0,10.3%,2.1%-29.4%,13.58,3.0,4.7633752862242815,0.0,1.0065330258157701e-07,0.4815313220024109,0.1517755389213562,0.191371202468872,0.1838117837905883,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Nicole Scherzinger,10,3,Percent,23.0,11.3%,9.3%-49.8%,21.03,1.0,4.7633752862242815,0.0,1.0065330258157701e-07,0.4815313220024109,0.1517755389213562,0.191371202468872,0.1838117837905883,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Erin Andrews,10,3,Percent,23.0,11.3%,2.8%-36.5%,16.68,2.0,4.7633752862242815,0.0,1.0065330258157701e-07,0.4815313220024109,0.1517755389213562,0.191371202468872,0.1838117837905883,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kate Gosselin,10,3,Percent,15.0,7.4%,1.9%-29.2%,12.51,4.0,4.7633752862242815,0.0,1.0065330258157701e-07,0.4815313220024109,0.1517755389213562,0.191371202468872,0.1838117837905883,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jake Pavelka,10,3,Percent,21.0,10.3%,1.3%-23.2%,9.13,6.0,4.7633752862242815,0.0,1.0065330258157701e-07,0.4815313220024109,0.1517755389213562,0.191371202468872,0.1838117837905883,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Aiden Turner,10,4,Percent,16.5,8.9%,0.1%-10.9%,1.36,9.0,4.247911883525831,0.0,5.01113891004934e-06,0.4012153148651123,0.1520257294178009,0.1628607660531997,0.1837608218193054,Eliminated (Place 9),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Niecy Nash,10,4,Percent,18.0,9.7%,0.3%-13.7%,3.09,8.0,4.247911883525831,0.0,5.01113891004934e-06,0.4012153148651123,0.1520257294178009,0.1628607660531997,0.1837608218193054,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chad Ochocinco,10,4,Percent,22.0,11.9%,1.1%-20.5%,8.31,6.0,4.247911883525831,0.0,5.01113891004934e-06,0.4012153148651123,0.1520257294178009,0.1628607660531997,0.1837608218193054,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Evan Lysacek,10,4,Percent,26.0,14.0%,1.6%-26.3%,11.22,5.0,4.247911883525831,0.0,5.01113891004934e-06,0.4012153148651123,0.1520257294178009,0.1628607660531997,0.1837608218193054,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Pamela Anderson,10,4,Percent,23.5,12.7%,2.8%-32.2%,17.06,2.0,4.247911883525831,0.0,5.01113891004934e-06,0.4012153148651123,0.1520257294178009,0.1628607660531997,0.1837608218193054,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Nicole Scherzinger,10,4,Percent,25.0,13.5%,13.6%-54.4%,24.3,1.0,4.247911883525831,0.0,5.01113891004934e-06,0.4012153148651123,0.1520257294178009,0.1628607660531997,0.1837608218193054,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Erin Andrews,10,4,Percent,19.5,10.5%,2.2%-28.5%,14.46,3.0,4.247911883525831,0.0,5.01113891004934e-06,0.4012153148651123,0.1520257294178009,0.1628607660531997,0.1837608218193054,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Kate Gosselin,10,4,Percent,16.0,8.6%,2.0%-30.0%,13.32,4.0,4.247911883525831,0.0,5.01113891004934e-06,0.4012153148651123,0.1520257294178009,0.1628607660531997,0.1837608218193054,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jake Pavelka,10,4,Percent,19.0,10.2%,0.9%-20.6%,6.87,7.0,4.247911883525831,0.0,5.01113891004934e-06,0.4012153148651123,0.1520257294178009,0.1628607660531997,0.1837608218193054,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Niecy Nash,10,5,Percent,18.0,10.4%,0.3%-13.2%,3.21,8.0,4.424461793154478,0.0004404059145599,0.0,0.2050399780273437,0.10758688300848,0.1868707239627838,0.332986831665039,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Chad Ochocinco,10,5,Percent,18.0,10.4%,0.6%-15.6%,5.19,7.0,4.424461793154478,0.0004404059145599,0.0,0.2050399780273437,0.10758688300848,0.1868707239627838,0.332986831665039,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Evan Lysacek,10,5,Percent,27.0,15.6%,2.0%-26.1%,13.66,3.0,4.424461793154478,0.0004404059145599,0.0,0.2050399780273437,0.10758688300848,0.1868707239627838,0.332986831665039,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
